Experiment #8  Min_Sup : 0.1, Min_Conf : 0.95
['饮料', '炒货食品', '即食主食']  0.120643
['冰品', '进口食品', '即食主食']  0.103217
['常温熟食类', '罐头食品', '散装休闲食品']  0.107239
['休闲小食品', '冷藏乳制品', '即食主食']  0.108579
['休闲小食品', '调味品', '饼干']  0.121984
['冲饮食品', '散装休闲食品', '即食主食']  0.132708
['冲饮食品', '糖果巧克力', '即食主食']  0.123324
['糖果巧克力', '杂粮', '常温熟食类']  0.103217
-----------------------Strong Association rules-----------------------
1  ['滋补保健品']  ['饮料']  0.975207  0.158177
2  ['杂粮']  ['饮料']  0.968254  0.163539
3  ['冲饮食品']  ['饮料']  0.957547  0.272118
4  ['冰品']  ['饮料']  0.951049  0.182306
5  ['罐头食品']  ['饮料']  0.953846  0.166220
6  ['中式糕点']  ['饮料']  0.953704  0.138070
7  ['常温乳制品']  ['饮料']  0.975309  0.211796
8  ['饼干', '即食主食']  ['饮料']  0.972414  0.189008
9  ['冰品', '饼干']  ['饮料']  0.988506  0.115282
10  ['冲饮食品', '饼干']  ['饮料']  1.000000  0.163539
11  ['散装休闲食品', '休闲小食品']  ['饮料']  0.957576  0.211796
12  ['糖果巧克力', '饼干']  ['饮料']  0.961538  0.234584
13  ['香烟', '膨化食品']  ['饮料']  0.976471  0.111260
14  ['调味品', '进口食品']  ['饮料']  0.968254  0.245308
15  ['常温熟食类', '炒货食品']  ['饮料']  0.963636  0.142091
16  ['糖果巧克力', '休闲小食品']  ['饮料']  0.966216  0.191689
17  ['休闲小食品', '常温乳制品']  ['饮料']  1.000000  0.119303
18  ['散装休闲食品', '炒货食品']  ['饮料']  0.966667  0.155496
19  ['散装休闲食品', '进口食品']  ['饮料']  0.950207  0.306971
20  ['散装休闲食品', '常温乳制品']  ['饮料']  0.984962  0.175603
21  ['散装休闲食品', '饼干']  ['饮料']  0.965909  0.227882
22  ['即食主食', '膨化食品']  ['饮料']  0.972973  0.144772
23  ['休闲小食品', '炒货食品']  ['饮料']  0.966667  0.116622
24  ['冲饮食品', '炒货食品']  ['饮料']  1.000000  0.112601
25  ['冲饮食品', '即食主食']  ['饮料']  0.991736  0.160858
26  ['罐头食品', '进口食品']  ['饮料']  0.990291  0.136729
27  ['常温熟食类', '散装休闲食品']  ['饮料']  0.951020  0.312332
28  ['糖果巧克力', '进口食品']  ['饮料']  0.963470  0.282842
29  ['常温熟食类', '啤酒']  ['饮料']  0.986842  0.100536
30  ['罐头食品', '冷藏乳制品']  ['饮料']  1.000000  0.100536
31  ['炒货食品', '冷藏乳制品']  ['饮料']  0.976471  0.111260
32  ['调味品', '常温乳制品']  ['饮料']  1.000000  0.142091
33  ['调味品', '罐头食品']  ['饮料']  0.975610  0.107239
34  ['杂粮', '调味品']  ['饮料']  0.979167  0.126005
35  ['南北干货', '进口食品']  ['饮料']  0.978947  0.124665
36  ['常温熟食类', '冷藏乳制品']  ['饮料']  0.965517  0.225201
37  ['冰品', '调味品']  ['饮料']  0.977011  0.113941
38  ['常温熟食类', '冷藏熟食']  ['饮料']  0.976190  0.109920
39  ['冷藏乳制品', '饼干']  ['饮料']  0.978873  0.186327
40  ['冰品', '即食主食']  ['饮料']  0.977011  0.113941
41  ['常温乳制品', '进口食品']  ['饮料']  0.992308  0.172922
42  ['常温熟食类', '中式糕点']  ['饮料']  0.963415  0.105898
43  ['糖果巧克力', '罐头食品']  ['饮料']  1.000000  0.127346
44  ['罐头食品', '即食主食']  ['饮料']  0.987179  0.103217
45  ['散装休闲食品', '南北干货']  ['饮料']  0.960000  0.128686
46  ['冷藏乳制品', '即食主食']  ['饮料']  0.962687  0.172922
47  ['炒货食品', '饼干']  ['饮料']  0.988889  0.119303
48  ['冰品', '冷藏乳制品']  ['饮料']  0.974684  0.103217
49  ['常温乳制品', '冷藏乳制品']  ['饮料']  1.000000  0.126005
50  ['冷藏乳制品', '进口食品']  ['饮料']  0.959302  0.221180
51  ['冲饮食品', '休闲小食品']  ['饮料']  0.990741  0.143432
52  ['调味品', '休闲小食品']  ['饮料']  0.969697  0.171582
53  ['冲饮食品', '冷藏乳制品']  ['饮料']  0.965217  0.148794
54  ['冲饮食品', '香烟']  ['饮料']  0.979592  0.128686
55  ['常温乳制品', '膨化食品']  ['饮料']  1.000000  0.116622
56  ['冷藏乳制品', '膨化食品']  ['饮料']  0.970588  0.132708
57  ['常温熟食类', '冰品']  ['饮料']  1.000000  0.135389
58  ['休闲小食品', '进口食品']  ['饮料']  0.963190  0.210456
59  ['香烟', '饼干']  ['饮料']  0.982301  0.148794
60  ['香烟', '进口食品']  ['饮料']  0.958621  0.186327
61  ['饼干', '膨化食品']  ['饮料']  0.954198  0.167560
62  ['冲饮食品', '散装休闲食品']  ['饮料']  0.975155  0.210456
63  ['散装休闲食品', '冰品']  ['饮料']  0.952381  0.134048
64  ['调味品', '即食主食']  ['饮料']  0.975309  0.211796
65  ['散装休闲食品', '滋补保健品']  ['饮料']  0.989362  0.124665
66  ['常温熟食类', '饼干']  ['饮料']  0.988827  0.237265
67  ['冲饮食品', '调味品']  ['饮料']  0.978417  0.182306
68  ['常温熟食类', '杂粮']  ['饮料']  0.990566  0.140751
69  ['冷藏熟食', '即食主食']  ['饮料']  1.000000  0.100536
70  ['糖果巧克力', '杂粮']  ['饮料']  0.977778  0.117962
71  ['冲饮食品', '膨化食品']  ['饮料']  1.000000  0.124665
72  ['冷藏素食制品', '饼干']  ['饮料']  0.964706  0.109920
73  ['常温熟食类', '滋补保健品']  ['饮料']  1.000000  0.127346
74  ['冲饮食品', '糖果巧克力']  ['饮料']  0.986395  0.194370
75  ['休闲小食品', '膨化食品']  ['饮料']  0.968085  0.121984
76  ['散装休闲食品', '膨化食品']  ['饮料']  0.964286  0.180965
77  ['进口食品', '饼干']  ['饮料']  0.983957  0.246649
78  ['散装休闲食品', '香烟']  ['饮料']  0.952941  0.217158
79  ['香烟', '休闲小食品']  ['饮料']  0.955556  0.115282
80  ['糖果巧克力', '冰品']  ['饮料']  0.961165  0.132708
81  ['常温熟食类', '膨化食品']  ['饮料']  0.985401  0.180965
82  ['滋补保健品', '调味品']  ['饮料']  1.000000  0.116622
83  ['罐头食品', '饼干']  ['饮料']  1.000000  0.112601
84  ['冲饮食品', '进口食品']  ['饮料']  0.975155  0.210456
85  ['冰品', '进口食品']  ['饮料']  0.981308  0.140751
86  ['冲饮食品', '常温乳制品']  ['饮料']  0.987805  0.108579
87  ['进口食品', '即食主食']  ['饮料']  0.968085  0.243968
88  ['常温熟食类', '南北干货']  ['饮料']  0.966667  0.116622
89  ['常温乳制品', '即食主食']  ['饮料']  0.981982  0.146113
90  ['调味品', '南北干货']  ['饮料']  0.975610  0.107239
91  ['冲饮食品', '罐头食品']  ['饮料']  1.000000  0.100536
92  ['散装休闲食品', '罐头食品']  ['饮料']  0.980000  0.131367
93  ['常温熟食类', '进口食品']  ['饮料']  0.969957  0.302949
94  ['冷藏熟食', '进口食品']  ['饮料']  0.975309  0.105898
95  ['糖果巧克力', '膨化食品']  ['饮料']  0.971014  0.179625
96  ['糖果巧克力', '中式糕点']  ['饮料']  0.962963  0.104558
97  ['糖果巧克力', '香烟']  ['饮料']  0.973154  0.194370
98  ['中式糕点', '进口食品']  ['饮料']  0.953488  0.109920
99  ['冲饮食品', '常温熟食类']  ['饮料']  0.993421  0.202413
100  ['糖果巧克力', '滋补保健品']  ['饮料']  1.000000  0.117962
101  ['调味品', '饼干']  ['饮料']  0.993243  0.197051
102  ['调味品', '炒货食品']  ['饮料']  0.980392  0.134048
103  ['糖果巧克力', '调味品']  ['饮料']  0.972826  0.239946
104  ['冷藏素食制品', '糖果巧克力']  ['饮料']  0.951923  0.132708
105  ['常温熟食类', '调味品']  ['饮料']  0.960976  0.264075
106  ['常温熟食类', '休闲小食品']  ['饮料']  0.968354  0.205094
107  ['糖果巧克力', '炒货食品']  ['饮料']  0.981982  0.146113
108  ['常温乳制品', '饼干']  ['饮料']  0.989130  0.121984
109  ['糖果巧克力', '冷藏乳制品']  ['饮料']  0.969512  0.213137
110  ['炒货食品', '进口食品']  ['饮料']  0.967742  0.160858
111  ['糖果巧克力', '即食主食']  ['饮料']  0.970238  0.218499
112  ['炒货食品', '即食主食']  ['饮料']  0.957447  0.120643
113  ['散装休闲食品', '中式糕点']  ['饮料']  0.954023  0.111260
114  ['滋补保健品', '进口食品']  ['饮料']  0.989583  0.127346
115  ['常温熟食类', '香烟']  ['饮料']  0.961538  0.234584
116  ['调味品', '冷藏乳制品']  ['饮料']  0.986207  0.191689
117  ['啤酒', '进口食品']  ['饮料']  0.975610  0.107239
118  ['香烟', '调味品']  ['饮料']  0.982906  0.154155
119  ['进口食品', '膨化食品']  ['饮料']  0.986207  0.191689
120  ['杂粮', '进口食品']  ['饮料']  0.990000  0.132708
121  ['常温熟食类', '常温乳制品']  ['饮料']  0.984962  0.175603
122  ['休闲小食品', '饼干']  ['饮料']  0.969231  0.168901
123  ['常温熟食类', '罐头食品']  ['饮料']  0.980198  0.132708
124  ['糖果巧克力', '常温熟食类']  ['饮料']  0.981395  0.282842
125  ['糖果巧克力', '南北干货']  ['饮料']  1.000000  0.107239
126  ['休闲小食品', '冷藏乳制品']  ['饮料']  0.974138  0.151475
127  ['散装休闲食品', '啤酒']  ['饮料']  0.975610  0.107239
128  ['糖果巧克力', '常温乳制品']  ['饮料']  0.990741  0.143432
129  ['散装休闲食品', '杂粮']  ['饮料']  0.981818  0.144772
130  ['调味品', '膨化食品']  ['饮料']  0.990566  0.140751


Association rules mining has completed.

The time spending on Apriori (seconds): 0.166107
